"id","prolificID","expName","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","timestamp","created_at"
"1","random-2385761960","FullPilot12_2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2025-10-14T09:36:45.427Z","2025-10-14 09:36:45"
"2","random-7580785173","FullPilot12_2","4","2","5","3","6","3","5","3","2","3","5","4","6","4","2","3","4","5","3","4","5","5","3","2","3","6","5","3","2","3","2025-11-04T10:01:39.362Z","2025-11-04 10:01:39"
"3","DMUU118","FullPilot12_2","5","4","1","5","1","1","3","1","1","1","3","3","1","1","1","1","2","4","3","3","5","3","1","1","2","3","5","5","2","1","2025-11-12T21:09:31.796Z","2025-11-12 21:09:32"
"4","DMUU871","FullPilot12_2","6","5","2","3","1","2","4","2","1","1","2","4","2","2","1","1","1","2","3","1","5","3","3","2","1","2","7","5","2","1","2025-11-13T23:04:39.782Z","2025-11-13 23:04:40"
"5","249","FullPilot12_2","7","5","2","3","1","2","6","2","5","1","5","1","3","1","2","1","4","1","7","6","7","2","4","6","2","7","7","7","2","6","2025-11-14T13:31:18.137Z","2025-11-14 13:31:18"
"6","DMUU000","FullPilot12_2","7","5","1","6","1","1","5","1","1","1","3","3","3","1","3","2","2","4","3","1","6","5","5","5","5","2","7","3","4","1","2025-11-15T12:33:27.455Z","2025-11-15 12:33:27"
"7","DMUU029","FullPilot12_2","7","3","2","7","5","5","6","2","2","1","6","3","6","2","2","2","2","3","5","2","6","6","3","4","7","5","7","4","2","2","2025-11-15T13:36:10.808Z","2025-11-15 13:36:11"
"8","DMUU991","FullPilot12_2","7","6","1","7","1","1","5","1","2","2","4","2","4","1","3","2","3","4","4","1","6","4","4","4","4","2","7","4","4","1","2025-11-15T13:37:35.250Z","2025-11-15 13:37:35"
"9","DMUU260","FullPilot12_2","5","5","1","4","1","1","2","1","1","1","1","7","1","1","2","5","1","2","2","1","6","5","2","1","3","1","6","5","2","1","2025-11-15T14:45:03.724Z","2025-11-15 14:45:04"
"10","DMUU586","FullPilot12_2","5","5","2","5","2","2","4","1","1","1","1","4","1","4","1","1","3","5","1","3","5","4","3","1","1","2","5","5","1","1","2025-11-15T20:17:30.628Z","2025-11-15 20:17:30"
"11","DMUU000","FullPilot12_2","5","4","4","4","4","4","4","3","1","1","1","1","1","3","1","3","1","1","1","1","1","1","2","1","1","2","2","2","2","1","2025-11-15T23:27:01.738Z","2025-11-15 23:27:02"
"12","random-7204542491","FullPilot12_2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2025-11-16T09:00:53.332Z","2025-11-16 09:00:53"
"13","DMUU458","FullPilot12_2","6","7","1","7","1","3","7","1","1","1","6","7","5","1","1","2","1","7","4","1","7","7","1","1","7","3","7","7","3","5","2025-11-16T09:51:29.064Z","2025-11-16 09:51:29"
"14","DMUU120","FullPilot12_2","5","2","3","5","2","4","5","6","5","1","6","5","2","5","5","1","3","4","5","1","6","5","7","7","5","2","6","4","3","1","2025-11-16T14:44:50.458Z","2025-11-16 14:44:50"
"15","DMUU842","FullPilot12_2","7","1","1","7","1","4","4","1","1","2","1","5","1","3","1","1","3","3","1","1","2","4","2","1","4","1","7","5","4","1","2025-11-16T16:21:02.422Z","2025-11-16 16:21:02"
"16","DMUU446","FullPilot12_2","6","3","1","5","3","2","5","1","3","3","3","1","3","1","6","4","1","2","3","1","3","5","5","2","1","2","7","4","4","3","2025-11-16T16:24:07.322Z","2025-11-16 16:24:08"
"17","DMUU945","FullPilot12_2","6","1","1","6","2","7","5","1","1","4","1","3","1","1","4","1","4","1","1","1","6","4","4","1","4","2","4","4","4","6","2025-11-16T16:39:33.908Z","2025-11-16 16:39:34"
"18","DMUU857","FullPilot12_2","4","3","1","6","3","3","3","1","7","3","4","1","4","1","4","2","3","3","4","3","4","4","3","2","4","2","1","2","3","1","2025-11-16T17:03:09.198Z","2025-11-16 17:03:11"
"19","DMUU904","FullPilot12_2","7","3","1","7","1","2","2","1","1","2","3","4","1","1","6","5","1","5","6","3","6","2","3","5","1","2","7","5","1","1","2025-11-16T18:45:19.255Z","2025-11-16 18:45:19"
"20","DMUU319","FullPilot12_2","6","3","1","7","2","1","1","1","1","1","1","1","1","1","2","4","1","1","2","1","2","1","2","2","2","2","7","2","1","4","2025-11-16T19:55:31.020Z","2025-11-16 19:55:31"
"21","DMUU904","FullPilot12_2","7","2","1","7","1","1","1","1","1","2","3","5","2","1","6","5","1","5","5","2","6","2","2","5","1","2","7","4","1","1","2025-11-16T22:13:34.021Z","2025-11-16 22:13:34"
"22","DMUU477","FullPilot12_2","4","4","1","2","2","2","4","1","3","1","1","2","2","1","3","1","4","3","3","4","4","4","3","2","3","4","5","4","1","2","2025-11-17T11:11:25.031Z","2025-11-17 11:11:24"
"23","DMUU602","FullPilot12_2","7","7","5","6","7","7","7","7","1","1","1","6","7","4","4","1","1","5","7","1","7","6","7","7","7","7","7","5","4","3","2025-11-17T12:20:03.815Z","2025-11-17 12:20:04"
"24","DMUU663","FullPilot12_2","5","5","2","7","2","3","5","2","1","2","6","4","5","4","3","1","2","5","5","7","4","5","4","7","5","5","5","5","3","3","2025-11-17T12:45:22.972Z","2025-11-17 12:45:20"
"25","DMUU001","FullPilot12_2","6","5","2","3","3","1","7","5","3","5","5","3","2","1","4","3","2","5","2","5","6","5","3","4","3","6","7","6","3","6","2025-11-17T12:56:53.666Z","2025-11-17 12:56:54"
"26","DMUU508","FullPilot12_2","6","1","2","7","7","3","4","3","6","2","4","5","5","1","7","1","1","3","1","1","2","2","1","1","1","7","7","2","6","1","2025-11-17T13:56:11.752Z","2025-11-17 13:56:12"
"27","DMUU884","FullPilot12_2","5","3","4","6","1","5","6","5","7","5","5","6","5","5","6","2","7","6","7","3","6","5","1","7","5","3","6","6","1","7","2025-11-17T14:30:26.069Z","2025-11-17 14:30:26"
"28","DMUU408","FullPilot12_2","6","1","2","7","5","6","6","2","1","1","2","3","1","1","1","1","5","5","5","1","5","4","1","1","1","1","7","4","4","7","2025-11-17T14:30:46.810Z","2025-11-17 14:30:47"
"29","DMUU037","FullPilot12_2","4","7","1","7","5","5","6","2","1","2","5","5","7","2","4","2","6","7","7","7","3","6","6","7","4","7","7","7","5","3","2025-11-17T14:35:39.950Z","2025-11-17 14:35:40"
"30","DMUU615","FullPilot12_2","6","2","2","5","4","5","6","5","2","1","4","3","4","2","1","2","1","1","1","3","3","1","7","2","2","1","7","6","1","6","2025-11-17T14:38:24.268Z","2025-11-17 14:38:24"
"31","DMUU905","FullPilot12_2","6","7","5","5","4","5","7","7","7","3","7","7","6","3","7","1","1","7","5","1","2","7","7","4","6","7","7","7","1","7","2025-11-17T15:19:34.687Z","2025-11-17 15:19:35"
"32","DMUU054","FullPilot12_2","6","7","1","7","6","5","6","2","4","1","7","5","5","3","2","1","4","6","7","2","6","2","7","7","7","7","7","7","4","2","2025-11-17T15:27:33.181Z","2025-11-17 15:27:33"
"33","DMUU214","FullPilot12_2","7","6","3","5","5","3","4","1","1","1","5","2","2","2","1","1","2","4","6","1","3","4","2","6","6","2","4","2","1","3","2025-11-17T15:47:56.839Z","2025-11-17 15:47:57"
"34","DMUU096","FullPilot12_2","6","2","1","6","5","1","3","2","1","1","5","2","4","2","6","4","1","4","1","1","5","4","2","3","1","1","6","5","2","1","2025-11-17T15:51:04.393Z","2025-11-17 15:51:05"
"35","DMUU582","FullPilot12_2","5","7","4","5","1","4","6","2","1","2","3","4","4","5","4","5","3","5","7","6","7","5","6","7","5","6","7","7","4","1","2025-11-17T16:31:43.495Z","2025-11-17 16:31:44"
"36","DMUU503","FullPilot12_2","5","1","5","6","6","4","6","5","1","1","5","1","5","3","1","1","1","2","3","5","4","3","7","2","2","1","7","5","1","7","2025-11-17T17:04:34.150Z","2025-11-17 17:04:34"
"37","DMUU763","FullPilot12_2","7","4","5","4","7","4","3","7","7","1","6","5","5","4","7","4","1","6","5","1","7","4","7","6","6","1","7","4","1","1","2025-11-17T17:04:34.304Z","2025-11-17 17:04:34"
"38","DMUU690","FullPilot12_2","5","2","1","5","2","1","6","1","5","5","5","5","4","1","1","2","1","5","3","1","3","2","1","2","4","3","6","6","1","1","2025-11-17T17:11:30.151Z","2025-11-17 17:11:30"
"39","DMUU733","FullPilot12_2","7","7","1","1","1","4","5","1","1","1","5","1","5","1","7","1","2","6","5","2","5","7","2","5","5","3","7","6","1","1","2025-11-17T17:26:40.594Z","2025-11-17 17:26:39"
"40","DMUU825","FullPilot12_2","5","5","5","6","1","6","2","5","5","4","5","5","5","4","7","1","5","5","5","6","6","5","6","6","6","3","2","4","5","5","2025-11-17T19:04:53.131Z","2025-11-17 19:04:51"
"41","DMUU067","FullPilot12_2","7","1","1","5","1","1","5","1","4","1","1","6","1","1","4","1","1","5","1","1","7","7","1","1","1","7","7","7","3","1","2025-11-17T20:20:11.366Z","2025-11-17 20:20:11"
"42","DMUU771","FullPilot12_2","4","6","2","6","2","2","4","5","4","1","2","5","4","5","1","1","2","5","4","1","7","5","7","1","3","7","7","7","4","1","2025-11-17T21:25:31.685Z","2025-11-17 21:25:36"
"43","DMUU318","FullPilot12_2","6","5","1","5","7","1","2","1","5","1","2","1","4","1","7","5","1","1","1","2","3","3","1","2","5","1","7","2","1","1","2025-11-18T00:22:13.880Z","2025-11-18 00:22:14"
"44","DMUU372","FullPilot12_2","6","4","2","5","1","1","4","1","1","1","5","4","5","2","4","2","2","6","4","2","4","5","3","3","4","3","7","7","1","1","2025-11-18T08:24:04.911Z","2025-11-18 08:24:05"
"45","DMUU000","FullPilot12_2","6","4","1","6","3","1","5","6","1","1","1","5","4","1","1","1","1","6","5","1","2","5","1","5","5","6","6","2","2","1","2025-11-18T12:50:08.426Z","2025-11-18 12:50:04"
